,a1,a2,a3,a4,C,fitness
208,0.125,0.0,-1.0,0.625,-0.125,4
209,0.0,0.0,-1.0,0.625,-0.125,1
210,0.125,0.0,-1.0,0.625,-0.125,3
211,0.0,0.0,-1.0,0.5,-0.125,1
212,0.0,0.0,-1.0,0.625,-0.125,14
213,0.125,0.0,-1.0,0.625,-0.125,1
214,0.125,0.0,-1.0,0.5,-0.125,2
215,0.125,0.0,-1.0,0.5,-0.125,18
216,0.0,0.0,-1.0,0.5,-0.125,4
217,0.125,0.0,-1.0,0.5,-0.125,1
218,0.0,-0.75,-1.0,0.75,-0.125,1
219,0.0,0.0,-1.0,0.5,-0.125,1
220,0.0,0.125,-1.0,0.5,-0.125,4
221,0.0,0.125,-1.0,0.5,-0.125,1
222,0.0,0.125,-1.0,0.5,-0.125,10
223,-0.5,0.0,-1.0,0.5,-0.125,0
224,-0.5,0.125,-1.0,0.5,0.375,1
225,0.0,0.125,-1.0,0.5,-0.125,4
226,0.0,0.125,-1.0,0.5,-0.125,7
227,0.0,0.0,-1.0,0.5,-0.125,2
228,0.0,0.125,-1.0,0.5,-0.125,2
229,0.0,0.125,-1.0,0.5,-0.125,4
230,0.0,0.0,-1.0,0.5,-0.125,5
231,0.0,0.125,-1.0,0.5,0.375,0
232,0.0,0.0,-1.0,0.5,-0.125,1
233,0.0,0.125,-1.0,0.5,-0.125,1
234,0.0,-0.5,-1.0,0.5,-0.125,1
235,0.0,0.0,-1.0,0.5,-0.125,6
236,0.0,0.0,-1.0,0.5,-0.125,2
237,0.0,0.0,-1.0,0.5,-0.125,1
238,0.0,0.125,-1.0,0.5,-0.125,1
239,0.0,0.125,-1.0,0.5,-0.125,1
240,0.0,0.0,-1.0,0.5,-0.125,2
241,0.0,0.125,-1.0,0.625,-0.125,1
242,0.0,0.125,-1.0,0.25,-0.125,1
243,0.125,0.125,-1.0,0.625,-0.125,1
244,0.0,0.125,-1.0,0.5,-0.125,1
245,0.0,0.0,-1.0,0.625,-0.125,2
246,0.125,0.0,-1.0,0.75,-0.125,1
247,0.0,0.125,-1.0,0.5,-0.125,1
248,0.0,0.0,-1.0,0.625,0.375,0
249,0.0,0.125,-1.0,0.5,-0.125,2
250,0.125,0.0,-1.0,0.5,-0.125,1
251,0.125,0.0,-1.0,0.5,0.375,0
252,0.125,0.125,-1.0,0.5,-0.125,1
253,0.0,0.0,-1.0,0.625,-0.125,4
254,0.125,0.0,-1.0,0.5,-0.125,1
255,0.0,0.125,-1.0,0.625,-0.125,4
256,0.0,0.125,-1.0,0.5,-0.125,4
257,0.125,0.125,-1.0,0.5,-0.125,4
258,0.0,0.125,-1.0,0.5,-0.125,5
259,0.125,0.0,-1.0,0.625,-0.125,2
260,0.0,0.125,-1.0,0.875,-0.125,0
261,0.0,0.125,-1.0,0.5,-0.125,3
262,0.0,0.125,-1.0,0.625,-0.125,2
263,0.0,0.25,-1.0,0.5,-0.125,3
264,0.0,0.125,-1.0,0.625,0.375,0
265,0.0,0.125,-1.0,0.5,-0.125,3
266,0.0,0.125,-1.0,0.625,-0.125,6
267,0.0,0.125,-1.0,0.75,-0.125,4
268,0.0,0.125,-1.0,0.5,-0.125,3
269,0.0,0.125,-1.0,0.875,-0.125,1
