,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,fitness
569,0.0,0.25,0.25,-0.875,-0.375,0.75,-0.625,0.75,-0.75,0.75,0.5,-0.875,0.75,0.625,0.75,-0.875,0.375,-0.875,0.5,1
570,-1.0,-0.75,0.75,-0.875,-0.875,0.625,-0.875,0.75,-1.0,0.0,0.5,-0.75,-0.125,-0.25,0.75,-0.125,0.25,-0.875,0.5,1
571,-0.875,-0.75,0.125,-0.875,-0.5,0.25,-0.875,0.75,-1.0,0.75,-0.5,-0.25,0.875,-0.875,0.25,-0.625,-0.375,-0.875,0.25,1
572,-0.375,0.625,0.75,-0.875,0.625,0.625,-0.875,0.75,-1.0,0.5,0.0,-0.125,-0.25,-1.0,0.75,-0.875,-0.125,-0.875,0.625,0
573,-1.0,0.75,0.5,-0.875,-0.5,0.75,-0.875,0.75,-1.0,0.25,-1.0,-0.25,0.75,-0.75,0.75,-0.375,0.75,-0.75,0.75,0
574,-1.0,0.75,-0.25,-0.875,-0.5,0.75,-0.625,0.75,-1.0,0.0,-1.0,-0.125,0.875,0.5,0.125,-0.375,0.25,-0.875,0.75,0
575,-0.375,0.25,0.0,-0.875,0.25,0.5,-0.875,0.875,-0.75,0.25,0.0,-0.625,0.625,-0.25,0.75,-0.875,0.875,-0.875,0.5,1
576,-0.5,-0.75,0.25,-0.875,-0.625,0.75,-0.625,0.75,-0.75,0.25,0.5,-0.25,0.875,-0.375,0.25,-0.125,-0.75,-0.875,0.5,0
577,-0.875,0.75,0.75,-0.875,0.0,0.5,-0.875,0.875,-1.0,0.0,-1.0,-0.75,0.75,0.125,0.25,-0.625,-0.125,-0.875,0.375,1
578,-0.5,0.25,0.0,-0.875,0.625,0.5,-0.875,0.875,-1.0,0.0,-1.0,-0.625,-0.25,-1.0,0.25,-0.625,0.25,-0.875,0.25,2
579,0.0,-0.25,0.75,-0.875,0.75,0.75,-0.625,0.625,-0.5,0.75,-0.5,-0.75,0.75,0.25,0.75,-0.125,0.875,-0.875,0.375,0
580,0.75,-0.125,0.5,-1.0,0.5,0.75,-0.5,0.75,-1.0,0.0,0.75,-0.625,0.125,0.375,0.625,-1.0,0.875,-1.0,0.125,1
581,0.625,-0.125,0.5,-0.5,0.25,0.25,-0.25,0.125,-1.0,0.25,0.875,-0.625,0.5,0.375,0.625,-0.875,0.875,-1.0,0.125,1
582,0.125,0.875,0.5,-0.875,0.5,0.625,-0.25,0.125,-1.0,0.0,0.875,-0.625,0.5,0.375,0.75,-1.0,0.875,-1.0,0.125,1
583,0.625,-0.125,0.5,-1.0,0.5,0.25,-0.25,0.25,-1.0,0.25,0.875,-0.625,0.0,0.375,0.625,-0.75,0.875,-0.875,0.125,4
584,-0.5,0.875,0.75,-0.375,0.5,-0.25,-0.25,0.25,-1.0,0.0,0.875,-0.625,0.0,0.375,0.625,-1.0,0.875,-1.0,0.125,0
585,-1.0,-0.125,0.75,-0.375,0.5,0.75,-0.5,0.75,-1.0,0.0,0.75,-0.625,0.0,0.375,0.625,-0.875,0.875,-1.0,0.125,2
586,0.25,0.875,0.5,-0.5,0.5,-0.75,-0.25,0.25,-1.0,0.125,0.75,-0.625,0.625,0.375,0.625,-0.75,0.875,-1.0,0.125,0
587,0.75,-0.125,0.5,-0.875,0.5,0.75,-0.5,0.25,-1.0,0.25,0.875,-0.625,0.0,0.375,0.625,-1.0,0.875,-0.875,0.125,2
588,-0.25,0.875,0.5,-0.875,0.5,0.25,-0.5,0.25,-1.0,0.0,0.75,-0.625,0.5,0.375,0.625,-1.0,0.875,-0.75,0.125,2
589,-1.0,-0.125,0.75,-0.375,0.5,-0.25,-0.25,0.625,-1.0,0.0,0.75,-0.625,0.25,0.375,0.625,-0.75,0.875,-1.0,0.125,0
590,0.625,-0.125,0.75,-0.375,0.5,-0.5,-0.25,0.75,-1.0,0.25,0.875,-0.625,0.625,0.375,0.625,-0.5,0.875,-0.875,0.125,1
591,-0.625,0.875,0.75,-1.0,0.5,-0.75,-0.25,0.25,-1.0,0.5,0.875,-0.625,0.625,0.625,0.625,-1.0,0.875,-1.0,0.25,1
592,0.875,0.875,0.5,-1.0,0.5,-0.25,-0.25,0.25,-1.0,0.125,0.75,-0.625,0.625,0.375,0.625,-0.75,0.875,-1.0,0.125,2
593,-0.875,-0.125,0.75,-0.5,0.5,-0.75,-0.5,0.125,-1.0,0.0,0.875,-0.625,0.0,0.375,0.625,-0.875,0.875,-0.875,0.125,0
594,-0.625,-0.125,0.75,-1.0,0.5,0.75,-0.25,0.75,-1.0,0.25,0.875,-0.625,0.0,0.375,0.625,-1.0,0.875,-1.0,0.125,0
595,0.5,-0.125,0.5,-1.0,0.5,-0.25,-0.5,0.25,-1.0,0.25,0.875,-0.625,0.5,0.625,0.375,-0.75,0.875,-1.0,0.125,0
596,-0.75,0.875,0.75,-0.875,0.5,-0.75,-0.5,0.75,-1.0,0.0,0.875,-0.625,0.0,0.375,0.625,-0.75,0.875,-0.875,0.125,0
597,-0.625,0.875,0.75,-1.0,0.5,0.25,-0.25,0.25,-1.0,0.25,0.75,-0.625,0.5,0.375,0.625,-1.0,0.875,-1.0,0.125,3
598,0.625,-0.125,0.5,-0.875,0.5,-0.25,-0.25,0.25,-1.0,0.0,0.875,-0.625,0.125,0.375,0.625,-0.75,0.875,-1.0,0.125,2
599,0.0,0.375,0.5,-0.375,0.5,0.25,-0.25,0.25,-1.0,0.0,0.875,-0.625,0.5,0.375,0.625,-1.0,0.875,-1.0,0.125,1
600,0.75,0.75,0.5,-1.0,0.75,0.0,0.75,0.75,-0.75,0.0,0.25,-0.875,0.625,0.625,0.5,-0.125,0.875,-0.625,0.25,0
601,0.75,-0.125,0.5,-0.875,0.75,0.0,-0.25,0.75,0.375,0.0,0.25,-0.875,0.625,-0.625,0.5,-0.5,0.875,-1.0,0.125,0
602,-0.25,-0.25,0.5,-1.0,0.625,0.25,0.875,0.875,0.25,0.0,0.75,-0.875,0.625,0.375,0.5,-0.5,0.875,-0.75,0.125,0
603,-0.25,-0.125,0.5,-1.0,0.75,0.5,0.875,0.75,-0.875,0.0,0.0,-0.875,0.625,0.125,0.5,-0.125,0.875,-0.75,0.125,2
604,0.75,0.875,0.25,-0.875,0.625,0.25,0.875,0.875,-0.75,0.0,0.25,-1.0,0.625,0.125,0.5,-0.25,0.875,-0.625,0.125,0
605,-0.25,-0.25,0.5,-0.875,0.5,0.0,0.75,0.875,-0.625,0.0,0.0,-1.0,-0.625,0.375,0.5,-0.625,0.875,-0.75,0.125,0
606,0.75,-0.125,0.5,-1.0,0.625,0.5,0.75,0.75,0.125,-0.5,0.5,-0.875,-0.375,0.125,0.5,-0.875,0.875,-0.75,-0.375,4
607,0.75,-0.25,0.5,-0.875,0.75,0.75,0.75,0.875,0.125,0.0,0.0,-1.0,0.125,-0.875,0.5,-0.875,0.875,-1.0,0.125,0
608,0.75,0.75,0.5,-1.0,0.5,0.0,0.75,0.875,0.0,0.0,0.75,-1.0,-0.375,-0.625,0.5,-0.875,0.875,-0.625,0.125,0
609,-0.25,0.875,0.25,-0.875,0.75,0.75,-0.125,0.875,0.375,0.0,0.25,-0.875,-0.375,-0.625,0.5,-1.0,0.875,-0.75,0.125,0
610,-0.375,-0.125,0.5,-1.0,0.875,0.75,0.75,0.875,-1.0,0.0,0.75,-0.875,-0.375,0.375,0.5,-1.0,0.875,-1.0,0.125,0
611,-0.25,-0.125,0.5,-0.875,0.75,0.5,-0.125,0.875,0.125,0.0,0.75,-0.875,0.625,-0.625,0.5,-0.125,0.875,-1.0,0.125,0
612,-0.25,-0.375,0.5,-0.875,0.625,0.25,-0.25,0.75,-0.875,0.0,0.75,-0.875,0.625,0.375,0.5,-1.0,0.875,-0.75,0.125,1
613,-0.25,-0.25,0.5,-1.0,0.5,0.25,0.75,0.75,-0.625,0.0,0.25,-0.875,-0.625,-0.625,0.5,-0.5,0.875,-0.875,0.125,1
614,-0.25,-0.125,0.5,-0.875,0.5,0.5,-0.25,0.875,-0.875,0.0,0.0,-1.0,-0.375,0.375,0.5,-0.5,0.875,-0.625,0.125,0
615,-0.25,0.75,0.5,-0.875,0.875,0.0,-0.25,0.75,0.125,0.0,0.5,-0.875,0.75,0.125,0.5,-0.375,0.875,-1.0,0.125,1
616,-0.25,-0.125,0.5,-0.875,0.875,0.75,-0.25,0.875,0.25,0.0,0.75,-1.0,-0.625,0.375,0.5,-0.25,0.875,-1.0,0.125,0
617,0.75,0.875,0.5,-0.875,0.875,0.0,0.75,0.625,0.0,0.0,0.0,-1.0,-0.375,0.375,0.5,-0.875,0.875,-0.875,0.125,0
618,0.75,0.875,0.5,-1.0,0.5,0.5,-0.25,0.875,-0.625,0.0,0.5,-1.0,0.625,-0.875,0.5,-1.0,0.875,-0.875,0.125,2
619,-0.25,0.875,0.5,-1.0,0.625,0.0,0.75,0.875,0.125,0.0,0.625,-0.875,-0.375,0.375,0.5,-0.375,0.875,-1.0,0.125,0
620,0.75,-0.75,0.875,-0.75,-0.75,0.875,-0.125,0.625,-0.625,0.5,-0.25,0.125,0.875,-1.0,0.625,-0.875,0.875,-0.75,0.75,0
621,0.75,0.5,0.5,-1.0,0.75,0.875,-0.75,0.625,-0.75,0.5,0.75,0.25,0.875,0.5,0.0,-0.625,0.875,-0.75,0.375,0
622,0.75,-0.625,0.75,-1.0,0.75,0.375,-0.125,0.625,-0.75,0.5,0.875,0.375,0.875,-1.0,0.125,-0.625,0.875,-0.75,0.75,0
623,0.625,-0.625,0.5,-0.75,0.75,0.375,0.25,0.625,-0.5,0.25,0.75,0.375,-0.125,0.5,0.25,-0.875,0.875,-0.75,0.125,0
624,0.75,0.25,0.875,-1.0,0.75,0.25,-0.75,0.875,-1.0,0.25,0.5,0.875,0.875,0.5,0.0,-0.625,0.875,-0.75,0.5,0
625,0.25,-0.75,0.875,-1.0,0.75,0.875,-0.25,0.875,-0.75,0.25,-0.625,0.25,-0.25,0.5,0.0,-0.625,0.875,-0.75,0.5,0
626,0.75,0.75,0.75,-0.75,-0.25,0.625,-0.75,0.625,-0.875,0.75,0.0,-0.375,-0.25,-0.5,0.5,-0.375,0.875,-0.75,0.375,10
627,0.75,0.875,0.625,-0.75,0.75,0.375,-0.625,0.625,-0.75,0.0,-0.75,0.25,-0.125,-0.5,0.5,-0.875,0.875,-0.75,0.75,0
628,0.25,0.875,0.75,-0.75,0.75,0.375,-0.75,0.375,-0.625,0.5,0.75,-0.75,0.625,-0.75,0.0,-0.625,0.875,-0.75,0.0,1
629,0.75,-0.25,0.75,-0.75,-0.25,0.375,-0.125,0.625,-1.0,0.75,0.375,0.375,0.875,0.0,0.5,-0.625,0.875,-0.875,0.5,0
